Region,Year,Educational Attainment,Median Income
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,College,31472.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,34919.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,55744.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Less than High School,22301.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,High school,33129.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,College,30593.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Bachelor,47999.0
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate",2016,Graduate,64299.0
Grays Harbor & Mason Counties,2016,Less than High School,12469.0
Grays Harbor & Mason Counties,2016,High school,26925.0
Grays Harbor & Mason Counties,2016,College,28419.0
Grays Harbor & Mason Counties,2016,Bachelor,47148.0
Grays Harbor & Mason Counties,2016,Graduate,49881.0
Clallam & Jefferson Counties,2016,Less than High School,18210.0
Clallam & Jefferson Counties,2016,High school,31232.0
Clallam & Jefferson Counties,2016,College,31810.0
Clallam & Jefferson Counties,2016,Bachelor,38591.0
Clallam & Jefferson Counties,2016,Graduate,45548.0
